"TaxaID","genome_composition","serotype","genotype"
1784979,"I: dsDNA","",""
1784981,"I: dsDNA","",""
1415146,"I: dsDNA","",""
2545435,"I: dsDNA","",""
2282912,"I: dsDNA","",""
889951,"I: dsDNA","",""
754040,"I: dsDNA","",""
1597967,"I: dsDNA","",""
2741073,"I: dsDNA","",""
2530183,"I: dsDNA","",""
1555207,"I: dsDNA","",""
1416011,"I: dsDNA","",""
1194091,"I: dsDNA","",""
674081,"I: dsDNA","",""
1904925,"I: dsDNA","",""
1913574,"I: dsDNA","",""
1701805,"I: dsDNA","",""
1897515,"I: dsDNA","",""
1747282,"I: dsDNA","",""
1852657,"I: dsDNA","",""
1912319,"I: dsDNA","",""
1796998,"I: dsDNA","",""
1933773,"I: dsDNA","",""
1785176,"I: dsDNA","",""
1610834,"I: dsDNA","",""
1610835,"I: dsDNA","",""
2026943,"I: dsDNA","",""
2547246,"I: dsDNA","",""
2099390,"I: dsDNA","",""
1147139,"I: dsDNA","",""
1357704,"I: dsDNA","",""
1560282,"I: dsDNA","",""
2041351,"I: dsDNA","",""
2740803,"I: dsDNA","",""
1283078,"I: dsDNA","",""
2163630,"I: dsDNA","",""
2320191,"I: dsDNA","",""
2320192,"I: dsDNA","",""
2320193,"I: dsDNA","",""
1735591,"I: dsDNA","",""
669008,"I: dsDNA","",""
2562138,"I: dsDNA","",""
532074,"I: dsDNA","",""
1543199,"I: dsDNA","",""
2053015,"I: dsDNA","",""
1407608,"I: dsDNA","",""
47049,"I: dsDNA","",""
1572753,"I: dsDNA","",""
1572754,"I: dsDNA","",""
1916101,"I: dsDNA","",""
2321391,"I: dsDNA","",""
2233775,"I: dsDNA","",""
532078,"I: dsDNA","",""
1176764,"I: dsDNA","",""
928293,"I: dsDNA","",""
369257,"I: dsDNA","",""
1455076,"I: dsDNA","",""
979535,"I: dsDNA","",""
979536,"I: dsDNA","",""
979537,"I: dsDNA","",""
979539,"I: dsDNA","",""
644563,"I: dsDNA","",""
588068,"I: dsDNA","",""
329886,"I: dsDNA","",""
1587520,"I: dsDNA","",""
1051673,"I: dsDNA","",""
2268589,"I: dsDNA","",""
1729936,"I: dsDNA","",""
1981933,"I: dsDNA","",""
1755692,"I: dsDNA","",""
1500756,"I: dsDNA","",""
1629654,"I: dsDNA","",""
1981932,"I: dsDNA","",""
197783,"I: dsDNA","",""
2079287,"I: dsDNA","",""
1729933,"I: dsDNA","",""
2052752,"I: dsDNA","",""
2052753,"I: dsDNA","",""
2052754,"I: dsDNA","",""
2052746,"I: dsDNA","",""
2163634,"I: dsDNA","",""
1455075,"I: dsDNA","",""
1410331,"I: dsDNA","",""
532075,"I: dsDNA","",""
2483604,"I: dsDNA","",""
1933110,"I: dsDNA","",""
1755695,"I: dsDNA","",""
2200756,"I: dsDNA","",""
2041760,"I: dsDNA","",""
344021,"I: dsDNA","",""
