"Species","Acronyms","Other.Acronyms","Other.Names"
"Dakar bat virus","DBV",NA,NA
"Dengue virus","DenV","DenV-1, DenV-2, DenV-3, DenV-4","Dengue virus-1, Dengue virus-2, Dengue virus-3, Dengue virus-4"
"Edge Hill virus","EHV",NA,NA
"Entebbe bat virus","EntV",NA,NA
"Gadgets Gully virus","GGyV",NA,NA
"Ilheus virus","IlhV","ROCV","Rocio virus"
"Israel turkey meningoencephalomyelitis virus","ITV",NA,NA
"Japanese encephalitis virus","JRV",NA,NA
"Jugra virus","JugV",NA,NA
"Jutiapa virus","JutV",NA,NA
"Kadam virus","KadV",NA,NA
"Kedougou virus","KedV",NA,NA
"Kokobera virus","KokV","STRV","Stratford virus"
"Koutango virus","KouV",NA,NA
"Kyasanur Forest disease virus","KFDV",NA,NA
"Langat virus","LgtV",NA,NA
"Louping ill virus","LIV",NA,NA
"Meaban virus","MeaV",NA,NA
"Modoc virus","ModV",NA,NA
"Montana myotis leukoencephalitis virus","MMLV",NA,NA
"Murray Valley encephalitis virus","MVEV","ALFV","Alfuy virus"
"Ntaya virus","NtaV",NA,NA
"Omsk hemorrhagic fever virus","OHFV",NA,NA
"Phnom Penh bat virus","PPBV","BCV","Batu cave virus"
"Powassan virus","PowV",NA,NA
"Rio Bravo virus","RBV",NA,NA
"Royal Farm virus","RFV","KSIV","Karshi virus"
"Saboya virus","SabV","POTV","Potiskum virus"
"Sal Vieja virus","SVV",NA,NA
"San Perlita virus","SPV",NA,NA
"Saumarez Reef virus","SReV",NA,NA
"Sepik virus","SepV",NA,NA
"St. Louis encephalitis virus","SLEV",NA,NA
"Tembusu virus","TmuV",NA,NA
"Tick-borne encephalitis virus","TBEV",NA,NA
"Tyuleniy virus","TyuV",NA,NA
"Uganda S virus","UgSV",NA,NA
"Usutu virus","UsuV",NA,NA
"Wesselsbron virus","WessV",NA,NA
"West Nile virus","WNV","KUNV","Kunjin virus"
"Yaounde virus","YaoV",NA,NA
"Yellow fever virus","YFV",NA,NA
"Yokose virus","YokV",NA,NA
"Zika virus","ZikV","SPOV","Spondweni virus"
"Hepacivirus A","HpcV-A","CHV, NPHV","Canine hepacivirus, Non-primate hepacivirus, Equine hepacivirus"
"Hepacivirus B","HpcV-B","GBV-B","GB virus-B"
"Hepacivirus C","HCV","HCV","Hepatitis C virus"
"Hepacivirus D","HpcV-D",NA,"Guereza hepacivirus"
"Hepacivirus E","HpcV-E",NA,"Rodent hepacivirus"
"Hepacivirus F","HpcV-F",NA,"Rodent hepacivirus"
"Hepacivirus G","HpcV-G",NA,"Norway rat hepacivirus-1"
"Hepacivirus H","HpcV-H",NA,"Norway rat hepacivirus-2"
"Hepacivirus I","HpcV-I",NA,"Rodent hepacivirus"
"Hepacivirus J","HpcV-J",NA,"Rodent hepacivirus"
"Hepacivirus K","HpcV-K",NA,"Bat hepacivirus"
"Hepacivirus L","HpcV-L",NA,"Bat hepacivirus"
"Hepacivirus M","HpcV-M",NA,"Bat hepacivirus"
"Hepacivirus N","HpcV-N",NA,"Bovine hepacivirus"
"Pegivirus A","PgV-A","GBV-A","GB virus-A"
"Pegivirus B","PgV-B","GBV-D","GB virus-D"
"Pegivirus C","PgV-C","GBV-C, HGV, HPgV-1","GB virus-C, hepatitis G virus, Human pegivirus-1"
"Pegivirus D","PgV-D",NA,"Theiler's disease-associated virus"
"Pegivirus E","PgV-E",NA,"Equine pegivirus"
"Pegivirus F","PgV-F",NA,"Bat pegivirus"
"Pegivirus G","PgV-G",NA,"Bat pegivirus"
"Pegivirus H","PgV-H","-, HPgV2, -","Human hepegivirus, Human pegivirus-2, hepegivirus-1"
"Pegivirus I","PgV-I",NA,"Bat pegivirus"
"Pegivirus J","PgV-J",NA,"Rodent pegivirus"
"Pegivirus K","PgV-K",NA,"Porcine pegivirus"
"Border disease virus","BDV",NA,NA
"Bovine viral diarrhea virus 1","BVDV-1",NA,NA
"Bovine viral diarrhea virus 2","BVDV-2",NA,NA
"Classical swine fever virus","CSFV","-","Hog cholera virus"
"Blackbird associated gemycircularvirus 1","BlAGcV-1",NA,NA
"Bovine associated gemycircularvirus 1","BoAGcV-1",NA,NA
"Bromus associated gemycircularvirus 1","BrAGcV-1",NA,NA
"Cassava associated gemycircularvirus 1","CaAGcV-1",NA,NA
"Chickadee associated gemycircularvirus 1","ChdAGcV-1",NA,NA
"Chicken associated gemycircularvirus 1","ChkAGcV-1",NA,NA
"Chicken associated gemycircularvirus 2","CAGcV-2",NA,NA
"Dragonfly associated gemycircularvirus 1","DAGcV-1",NA,NA
"Equine associated gemycircularvirus 1","EAGcV-1",NA,NA
"Fur seal associated gemycircularvirus 1","FSAGcV-1",NA,NA
"Gerygone associated gemycircularvirus 1","GAGcV-1",NA,NA
"Gerygone associated gemycircularvirus 2","GAGcV-2",NA,NA
"Gerygone associated gemycircularvirus 3","GAGcV-3",NA,NA
"Hypericum associated gemycircularvirus 1","HAGcV-1",NA,NA
"Lama associated gemycircularvirus 1","LAGcV-1",NA,NA
"Mallard associated gemycircularvirus 1","MaAGcV-1",NA,NA
"Miniopterus associated gemycircularvirus 1","MiAGcV-1",NA,NA
"Mongoose associated gemycircularvirus 1","MonAGcV-1",NA,NA
"Mosquito associated gemycircularvirus 1","MosAGcV-1",NA,NA
"Odonata associated gemycircularvirus 1","OAGcV-1",NA,NA
"Odonata associated gemycircularvirus 2","OAGcV-2",NA,NA
"Poaceae associated gemycircularvirus 1","PocAGcV-1",NA,NA
"Porcine associated gemycircularvirus 1","PorAGcV-1",NA,NA
"Porcine associated gemycircularvirus 2","PorAGcV-2",NA,NA
"Pteropus associated gemycircularvirus 1","PtAGcV-1",NA,NA
"Pteropus associated gemycircularvirus 2","PtAGcV-2",NA,NA
"Pteropus associated gemycircularvirus 3","PtAGcV-3",NA,NA
"Pteropus associated gemycircularvirus 4","PtAGcV-4",NA,NA
"Pteropus associated gemycircularvirus 5","PtAGcV-5",NA,NA
"Pteropus associated gemycircularvirus 6","PtAGcV-6",NA,NA
"Pteropus associated gemycircularvirus 7","PtAGcV-7",NA,NA
"Pteropus associated gemycircularvirus 8","PtAGcV-8",NA,NA
"Pteropus associated gemycircularvirus 9","PtAGcV-9",NA,NA
"Pteropus associated gemycircularvirus 10","PtAGcV-10",NA,NA
"Rat associated gemycircularvirus 1","RAGcV-1",NA,NA
"Sclerotinia gemycircularvirus 1","SGcV-1",NA,NA
"Sewage derived gemycircularvirus 1","SDGcV-1",NA,NA
"Sewage derived gemycircularvirus 2","SDGcV-2",NA,NA
"Sewage derived gemycircularvirus 3","SDGcV-3",NA,NA
"Sewage derived gemycircularvirus 4","SDGcV-4",NA,NA
"Sewage derived gemycircularvirus 5","SDGcV-5",NA,NA
"Sheep associated gemycircularvirus 1","ShAGcV-1",NA,NA
"Soybean associated gemycircularvirus 1","SoAGcV-1",NA,NA
"Dragonfly associated gemyduguivirus 1","DAGdV-1",NA,NA
"Canine associated gemygorvirus 1","CAGgV-1",NA,NA
"Mallard associated gemygorvirus 1","MAGgV-1",NA,NA
"Pteropus associated gemygorvirus 1","PrGgV-1",NA,NA
"Sewage derived gemygorvirus 1","SDGgV-1",NA,NA
"Starling associated gemygorvirus 1","StGgV-1",NA,NA
"Badger associated gemykibivirus 1","BaAGkiV-1",NA,NA
"Black robin associated gemykibivirus 1","BRGkiV-1",NA,NA
"Blackbird associated gemykibivirus 1","BlGkiV-1",NA,NA
"Bovine associated gemykibivirus 1","BoAGkiV-1",NA,NA
"Dragonfly associated gemykibivirus 1","DAGkiV-1",NA,NA
"Human associated gemykibivirus 1","HAGkiV-1",NA,NA
"Human associated gemykibivirus 2","HAGkiV-2",NA,NA
"Human associated gemykibivirus 3","HAGkiV-3",NA,NA
"Human associated gemykibivirus 4","HAGkiV-4",NA,NA
"Human associated gemykibivirus 5","HAGkiV-5",NA,NA
"Mongoose associated gemykibivirus 1","MAGkiV-1",NA,NA
"Pteropus associated gemykibivirus 1","PAGkiV-1",NA,NA
"Rhinolophus associated gemykibivirus 1","RAGkiV-1",NA,NA
"Rhinolophus associated gemykibivirus 2","RAGkiV-2",NA,NA
"Sewage derived gemykibivirus 1","SDGkiV-1",NA,NA
"Sewage derived gemykibivirus 2","SDGkiV-2",NA,NA
"Pteropus associated gemykolovirus 1","PAGkoV-1",NA,NA
"Pteropus associated gemykolovirus 2","PAGkoV-2",NA,NA
"Bovine associated gemykrogvirus 1","BAGkrV-1",NA,NA
"Caribou associated gemykrogvirus 1","CAGkrV-1",NA,NA
"Sewage derived gemykrogvirus 1","SDGkrV-1",NA,NA
"Rabbit associated gemykroznavirus 1","RAGkzV-1",NA,NA
"Ostrich associated gemytondvirus 1","OAGtV-1",NA,NA
"Human associated gemyvongvirus 1","HAGtV-1",NA,NA
"Amga orthohantavirus","AMGV","MGAV","Amga virus"
"Andes orthohantavirus","ANDV","ANDV, -, -, -","Andes virus, Lechiguanas virus, Oran virus, Castelo dos Sonhos virus"
"Asama orthohantavirus","ASAV","ASAV","Asama virus"
"Asikkala orthohantavirus","ASIV","ASIV","Asikkala virus"
"Bayou orthohantavirus","BAYV","BAYV, -","Bayou virus Louisiana, Catacamas virus"
"Black Creek Canal orthohantavirus","BCCV","BCCV","Black Creek Canal virus"
"Bowe orthohantavirus","BOWV","BOWV","Bowé virus"
"Bruges orthohantavirus","BRUV","BRGV","Bruges virus"
"Cano Delgadito orthohantavirus","CADV","CADV","Caño Delgadito virus"
"Cao Bang orthohantavirus","CBNV","CBNV","Cao Bang virus-3, Lianghe virus"
"Choclo orthohantavirus","CHOV","CHOV","Choclo virus"
"Dabieshan orthohantavirus","DBSV","DBSV","Dabieshan virus"
"Dobrava-Belgrade orthohantavirus","DOBV","DOBV, -, SAAV, -","Dobrava virus, Kurkino virus, Saaremaa virus, Sochi virus"
"El Moro Canyon orthohantavirus","ELMCV","ELMCV, CARV, HUIV","El Moro Canyon virus, Carrizal virus, Huitzilac virus"
"Fugong orthohantavirus","FUGV","FUGV","Fugong virus"
"Fusong orthohantavirus","FUSV","FUSV","Fusong virus"
"Hantaan orthohantavirus","HTNV","HTNV, AMRV, SOOV","Hantaan virus, Amur virus, Soochong virus"
"Imjin orthohantavirus","IMJV","MJNV","Imjin virus"
"Jeju orthohantavirus","JJUV","JJUV","Jeju virus"
"Kenkeme orthohantavirus","KKMV","KKMV","Kenkeme virus"
"Khabarovsk orthohantavirus","KHAV","KHAV, TOPV","Khabarovsk virus, Topografov virus"
"Laguna Negra orthohantavirus","LANV","LANV, -, RIOMV","Laguna Negra virus, Maripa virus, Rio Mamore virus"
"Laibin orthohantavirus","LAIV","LAIV","Laibin virus"
"Longquan orthohantavirus","LQUV","LQUV","Longquan virus"
"Luxi orthohantavirus","LUXV","LUXV","Luxi virus"
"Maporal orthohantavirus","MAPV","MAPV","Maporal virus"
"Montano orthohantavirus","MTNV","MTNV","Montano virus"
"Necocli orthohantavirus","NECV","NECV","Necocli virus"
"Nova orthohantavirus","NOVV","NVAV","Nova virus"
"Oxbow orthohantavirus","OXBV","OXBV","Oxbow virus"
"Prospect Hill orthohantavirus","PHV","PHV","Prospect Hill virus"
"Puumala orthohantavirus","PUUV","PUUV, HOKV, MUV","Puumala virus, Hokkaido virus, Muju virus"
"Quezon orthohantavirus","QZNV","QZNV","Quezon virus"
"Rockport orthohantavirus","RKPV","RKPV","Rockport virus"
"Sangassou orthohantavirus","SANGV","SANGV","Sangassou virus"
"Seoul orthohantavirus","SEOV","SEOV, GOUV","Seoul virus, Gou virus"
"Sin Nombre orthohantavirus","SNV","SNV, -","Sin Nombre virus, New York virus"
"Thailand orthohantavirus","THAIV","THAIV, -, -","Thailand virus, Anjozorobe virus, Jurong virus"
"Thottapalayam orthohantavirus","TPMV","TPMV","Thottapalayam virus"
"Tula orthohantavirus","TULV","TULV, ADLV","Tula virus, Adler virus"
"Yakeshi orthohantavirus","YKSV","YKSV","Yakeshi virus"
"Duck hepatitis B virus","DHBV",NA,NA
"Heron hepatitis B virus","HHBV",NA,NA
"Parrot hepatitis B virus","PHBV",NA,NA
"Ground squirrel hepatitis virus","GSHV",NA,NA
"Hepatitis B virus","HBV",NA,NA
"Long-fingered bat hepatitis B virus","LBHBV",NA,NA
"Pomona bat hepatitis B virus","PBHBV",NA,NA
"Roundleaf bat hepatitis B virus","RBHBV",NA,NA
"Tent-making bat hepatitis B virus","TBHBV",NA,NA
"Woodchuck hepatitis virus","WHV",NA,NA
"Woolly monkey hepatitis B virus","WMHBV",NA,NA
"White sucker hepatitis B virus","WSHBV",NA,NA
"Orthohepevirus A","HEV-A",NA,NA
"Orthohepevirus B","HEV-B",NA,NA
"Orthohepevirus C","HEV-C",NA,NA
"Orthohepevirus D","HEV-E",NA,NA
"Piscihepevirus A","PiHEV-A",NA,NA
"Gallid alphaherpesvirus 1","GaHV-1","GaHV-1","Gallid herpesvirus 1"
"Psittacid alphaherpesvirus 1","PsHV-1","PsHV-1","Psittacid herpesvirus 1"
"Anatid alphaherpesvirus 1","AnHV-1","AnHV-1","Anatid herpesvirus 1"
"Columbid alphaherpesvirus 1","CoHV-1","CoHV-1","Columbid herpesvirus 1"
"Gallid alphaherpesvirus 2","GaHV-2","GaHV-2, -","Gallid herpesvirus 2, Marek's disease virus type 1"
"Gallid alphaherpesvirus 3","GaHV-3","GaHV-3, -","Gallid herpesvirus 3, Marek's disease virus type 2"
"Meleagrid alphaherpesvirus 1","MeHV-1","MeHV-1, HVT","Meleagrid herpesvirus 1, Turkey herpesvirus"
"Chelonid alphaherpesvirus 5","ChHV-5","ChHV-5","Chelonid herpesvirus 5"
"Ateline alphaherpesvirus 1","AtHV-1","AtHV-1","Ateline herpesvirus 1"
"Bovine alphaherpesvirus 2","BoHV-2","BoHV-2","Bovine herpesvirus 2"
"Cercopithecine alphaherpesvirus 2","CeHV-2","CeHV-2","Cercopithecine herpesvirus 2"
"Human alphaherpesvirus 1","HHV-1","HHV-1, HSV-1","Human herpesvirus 1, Herpes simplex virus-1"
"Human alphaherpesvirus 2","HHV-2","HHV-2, HSV-2","Human herpesvirus 2, Herpes simplex virus-2"
"Leporid alphaherpesvirus 4","LeHV-4","LeHV-4","Leporid herpesvirus 4"
"Macacine alphaherpesvirus 1","McHV-1","McHV-1, CHV-1, -, -","Macacine herpesvirus 1, Cercopithecine herpesvirus-1, B herpesvirus, Herpesvirus simiae"
"Macropodid alphaherpesvirus 1","MaHV-1","MaHV-1","Macropodid herpesvirus 1"
"Macropodid alphaherpesvirus 2","MaHv-2","MaHv-2","Macropodid herpesvirus 2"
"Panine alphaherpesvirus 3","PaHV-3","PaHV-3","Panine herpesvirus 3"
"Papiine alphaherpesvirus 2","PpHV-2","PpHV-2","Papiine herpesvirus 2"
"Saimiriine alphaherpesvirus 1","SaiHV-1","SaHV-1","Saimiriine herpesvirus 1"
"Chelonid alphaherpesvirus 6","ChHV-6","ChHV-6","Chelonid herpesvirus 6"
"Bovine alphaherpesvirus 1","BoHV-1","BoHV-1","Bovine herpesvirus 1"
"Bovine alphaherpesvirus 5","BoHV-5","BoHV-5","Bovine herpesvirus 5"
"Bubaline alphaherpesvirus 1","BuHV-1","BuHV-1","Bubaline herpesvirus 1"
"Canid alphaherpesvirus 1","CaHV-1","CaHV-1","Canid herpesvirus 1"
"Caprine alphaherpesvirus 1","CpHV-1","CpHV-1","Caprine herpesvirus 1"
"Cercopithecine alphaherpesvirus 9","CeHV-9","CeHV-9","Cercopithecine herpesvirus 9"
"Cervid alphaherpesvirus 1","CvHV-1","CvHV-1","Cervid herpesvirus 1"
"Cervid alphaherpesvirus 2","CvHV-2","CvHV-2","Cervid herpesvirus 2"
"Equid alphaherpesvirus 1","EHV-1","EHV-1","Equid herpesvirus 1"
"Equid alphaherpesvirus 3","EHV-3","EHV-3","Equid herpesvirus 3"
"Equid alphaherpesvirus 4","EHV-4","EHV-4","Equid herpesvirus 4"
"Equid alphaherpesvirus 8","EHV-8","EHV-8","Equid herpesvirus 8"
"Equid alphaherpesvirus 9","EHV-9","EHV-9","Equid herpesvirus 9"
"Felid alphaherpesvirus 1","FeHV-1","FeHV-1","Felid herpesvirus 1"
"Human alphaherpesvirus 3","HHV-3","HHV-3, VZV","Human herpesvirus 3, Varicella Zoster virus"
"Phocid alphaherpesvirus 1","PhoHV-1","PhoHV-1","Phocid herpesvirus 1"
"Suid alphaherpesvirus 1","SuHV-1","SuHV-1, PRV","Suid herpesvirus 1, Pseudorabies virus"
"Aotine betaherpesvirus 1","AoHV-1","AoHV-1","Aotine herpesvirus 1"
"Cebine betaherpesvirus 1","CbHV-1","CbHV-1","Cebine herpesvirus 1"
"Cercopithecine betaherpesvirus 5","CeHV-5","CeHV-5","Cercopithecine herpesvirus 5"
"Human betaherpesvirus 5","HHV-5","HHV-5, HCMV","Human herpesvirus 5, Human cytomegalovirus"
"Macacine betaherpesvirus 3","McHV-3","McHV-3","Macacine herpesvirus 3"
"Panine betaherpesvirus 2","PaHV-2","PaHV-2","Panine herpesvirus 2"
"Papiine betaherpesvirus 3","PpHV-3","PpHV-3","Papiine herpesvirus 3"
"Saimiriine betaherpesvirus 4","SaHV-4","SaHV-4","Saimiriine herpesvirus 4"
"Murid betaherpesvirus 1","MuHV-1","MuHV-1","Murid herpesvirus 1"
"Murid betaherpesvirus 2","MuHV-2","MuHV-2","Murid herpesvirus 2"
"Murid betaherpesvirus 8","MuHV-8","MuHV-8","Murid herpesvirus 8"
"Elephantid betaherpesvirus 1","ElHV-1","ElHV-1","Elephantid herpesvirus 1"
"Human betaherpesvirus 7","HHV-7","HHV-7","Human herpesvirus 7"
"Human betaherpesvirus 6A","HHV-6A","HHV-6A","Human herpesvirus 6A"
"Human betaherpesvirus 6B","HHV-6B","HHV-6B","Human herpesvirus 6B"
"Caviid betaherpesvirus 2","CavHV-1","CavHV-1","Caviid herpesvirus 2"
"Suid betaherpesvirus 2","SuHV-2","SuHV-2","Suid herpesvirus 2"
"Tupaiid betaherpesvirus 1","TuHV-1","TuHV-1","Tupaiid herpesvirus 1"
"Callitrichine gammaherpesvirus 3","CalHV-3","CalHV-3","Callitrichine herpesvirus 3"
"Cercopithecine gammaherpesvirus 14","CeHV-12","CeHV-12","Cercopithecine herpesvirus 14"
"Gorilline gammaherpesvirus 1","GoHV-1","GoHV-1","Gorilline herpesvirus 1"
"Human gammaherpesvirus 4","HHV-4","HHV-4, EBV","Human herpesvirus 4, Ebstein Barr virus"
"Macacine gammaherpesvirus 4","McHV-4","McHV-4","Macacine herpesvirus 4"
"Panine gammaherpesvirus 1","PaHV-1","PaHV-1","Panine herpesvirus 1"
"Papiine gammaherpesvirus 1","PpHV-1","PpHV-1","Papiine herpesvirus 1"
"Pongine gammaherpesvirus 2","PoHV-2","PoHV-2","Pongine herpesvirus 2"
"Alcelaphine gammaherpesvirus 1","AlHV-1","AlHV-1","Alcelaphine herpesvirus 1"
"Alcelaphine gammaherpesvirus 2","AlHV-2","AlHV-2","Alcelaphine herpesvirus 2"
"Bovine gammaherpesvirus 6","BoHV-6","BoHV-6","Bovine herpesvirus 6"
"Caprine gammaherpesvirus 2","CaHV-2","CaHV-2","Caprine herpesvirus 2"
"Hippotragine gammaherpesvirus 1","HiHV-1","HiHV-1","Hippotragine herpesvirus 1"
"Ovine gammaherpesvirus 2","OvHV-2","OvHV-2","Ovine herpesvirus 2"
"Suid gammaherpesvirus 3","SuHV-3","SuHV-3","Suid herpesvirus 3"
"Suid gammaherpesvirus 4","SuHV-4","SuHV-4","Suid herpesvirus 4"
"Suid gammaherpesvirus 5","SuHV-5","SuHV-5","Suid herpesvirus 5"
"Equid gammaherpesvirus 2","EqHV-2","SuHV-2","Equid herpesvirus 2"
"Equid gammaherpesvirus 5","EqHV-5","EqHV-5","Equid herpesvirus 5"
"Mustelid gammaherpesvirus 1","MusHV-1","MuHV-1","Mustelid herpesvirus 1"
"Ateline gammaherpesvirus 2","AtHV-2","AtHV-2","Ateline herpesvirus 2"
"Ateline gammaherpesvirus 3","AtHV-3","AtHV-3","Ateline herpesvirus 3"
"Bovine gammaherpesvirus 4","BoHV-4","BoHV-4","Bovine herpesvirus 4"
"Cricetid gammaherpesvirus 2","CrHV-2","CrHV-2","Cricetid herpesvirus 2"
"Human gammaherpesvirus 8","HHV-8","HHV-8","Human herpesvirus 8"
"Macacine gammaherpesvirus 5","MaHV-5","MaHV-5","Macacine herpesvirus 5"
"Murid gammaherpesvirus 4","MuHV-4","MuHV-4","Murid herpesvirus 4"
"Murid gammaherpesvirus 7","MuHV-7","MuHV-7","Murid herpesvirus 7"
"Saimiriine gammaherpesvirus 2","SaiHV-2","SaiHV-2","Saimiriine herpesvirus 2"
"Equid gammaherpesvirus 7","EqHV-7","EqHV-7","Equid herpesvirus 7"
"Phocid gammaherpesvirus 2","PhHV-2","PhHV-2","Phocid herpesvirus 2"
"Saguinine gammaherpesvirus 1","SagHV-1","SagHV-1","Saguinine herpesvirus 1"
"Iguanid herpesvirus 2","IgHV-2","IgHV-2","Iguanid herpesvirus 2"
"Lymphocystis disease virus 1","LCDV-1",NA,NA
"Infectious spleen and kidney necrosis virus","ISKNV",NA,NA
"Ambystoma tigrinum virus","ATV",NA,NA
"Bohle iridovirus","BoIV",NA,NA
"Epizootic haematopoietic necrosis virus","EHNV",NA,NA
"European catfish virus","ECV",NA,NA
"Frog virus 3","FV-3",NA,NA
"Santee-Cooper ranavirus","SCRV",NA,NA
"Singapore grouper iridovirus","SGIV",NA,NA
"Invertebrate iridescent virus 3","IIV-3",NA,NA
"Invertebrate iridescent virus 1","IIV-1",NA,NA
"Invertebrate iridescent virus 6","IIV-6",NA,NA
"Burana orthonairovirus","BURV",NA,NA
"Crimean-Congo hemorrhagic fever orthonairovirus","CCHFV",NA,NA
"Dera Ghazi Khan orthonairovirus","DGKV",NA,NA
"Dugbe orthonairovirus","DUGV",NA,NA
"Hazara orthonairovirus","HAZV",NA,NA
"Hughes orthonairovirus","HUGV",NA,NA
"Kasokero orthonairovirus","KASV",NA,NA
"Keterah orthonairovirus","KETV",NA,NA
"Nairobi sheep disease orthonairovirus","NSDV",NA,NA
"Qalyub orthonairovirus","QYBV",NA,NA
"Sakhalin orthonairovirus","SAKV",NA,NA
"Thiafora orthonairovirus","TFAV",NA,NA
"Black beetle virus","BlBV",NA,NA
"Boolarra virus","BoV",NA,NA
"Flock House virus","FHV",NA,NA
"Nodamura virus","NoV",NA,NA
"Pariacoto virus","PaV",NA,NA
"Barfin flounder nervous necrosis virus","BFNNV",NA,NA
"Redspotted grouper nervous necrosis virus","RGNNV",NA,NA
"Striped jack nervous necrosis virus","SJNNV",NA,NA
"Tiger puffer nervous necrosis virus","TPNNV",NA,NA
"Orsay virus","OrsV",NA,NA
"Midway nyavirus","MIDWV",NA,NA
"Nyamanini nyavirus","NYMV",NA,NA
"Sierra Nevada nyavirus","SNVV",NA,NA
"Pteromalus puparum peropuvirus","PpSRV",NA,NA
"Soybean cyst nematode socyvirus","SbCNV",NA,NA
"Influenza A virus","IV-A",NA,NA
"Influenza B virus","IV-B",NA,NA
"Influenza C virus","IV-C",NA,NA
"Influenza D virus","IV-D",NA,NA
"Infectious salmon anemia virus","ISAV",NA,NA
"Johnston Atoll virus","JAV",NA,NA
"Quaranfil virus","QrfV",NA,NA
"Dhori virus","DHOV",NA,NA
"Thogoto virus","THOV",NA,NA
"Alphapapillomavirus 1","AlPV-1","HPV-32, HPV-42","Human papillomavirus 32, Human papillomavirus 42"
"Alphapapillomavirus 2","AlPV-2","HPV-1010, HPV-3, HPV-28, HPV-29, HPV-77, HPV-78, HPV-94","Human papillomavirus 10, Human papillomavirus 3, Human papillomavirus 28, Human papillomavirus 29, Human papillomavirus 77, Human papillomavirus 78, Human papillomavirus 94"
"Alphapapillomavirus 3","AlPV-3","HPV-61, HPV-72, HPV-81, HPV-83, HPV-84, HPV-cand62, HPV-cand86, HPV-cand87, HPV-cand89","Human papillomavirus 61, Human papillomavirus 72, Human papillomavirus 81, Human papillomavirus 83, Human papillomavirus 84, Human papillomavirus cand62, Human papillomavirus cand86, Human papillomavirus cand87, Human papillomavirus cand89"
"Alphapapillomavirus 4","AlPV-4","HPV-2, HPV-27, HPV-57","Human papillomavirus 2, Human papillomavirus 27, Human papillomavirus 57"
"Alphapapillomavirus 5","AlPV-5","HPV-26, HPV-51, HPV-69, HPV-82","Human papillomavirus 26, Human papillomavirus 51, Human papillomavirus 69, Human papillomavirus 82"
"Alphapapillomavirus 6","AlPV-6","HPV-53, HPV-30, HPV-56, HPV-66","Human papillomavirus 53, Human papillomavirus 30, Human papillomavirus 56, Human papillomavirus 66"
"Alphapapillomavirus 7","AlPV-7","HPV-18, HPV-39, HPV-45, HPV-59, HPV-68, HPV-70, HPV-cand85","Human papillomavirus 18, Human papillomavirus 39, Human papillomavirus 45, Human papillomavirus 59, Human papillomavirus 68, Human papillomavirus 70, Human papillomavirus cand85"
"Alphapapillomavirus 8","AlPV-8","HPV-7, HPV-40, HPV-43","Human papillomavirus 7, Human papillomavirus 40, Human papillomavirus 43"
"Alphapapillomavirus 9","AlPV-9","HPV-16 , HPV-31, HPV-33, HPV-35, HPV-52, HPV-58, HPV-67","Human papillomavirus 16 , Human papillomavirus 31, Human papillomavirus 33, Human papillomavirus 35, Human papillomavirus 52, Human papillomavirus 58, Human papillomavirus 67"
"Alphapapillomavirus 10","AlPV-10","HPV-6, HPV-11, HPV-13, HPV-44, HPV-74, PCPV-1","Human papillomavirus 6, Human papillomavirus 11, Human papillomavirus 13, Human papillomavirus 44, Human papillomavirus 74, Pygmy chimpanzee papillomavirus-1"
"Alphapapillomavirus 11","AlPV-11","HPV-34, HPV-73","Human papillomavirus 34, Human papillomavirus 73"
"Alphapapillomavirus 12","AlPV-12","RhPV-1","Rhesus monkey papillomavirus 1"
"Alphapapillomavirus 13","AlPV-13","HPV-54","Human papillomavirus 54"
"Alphapapillomavirus 14","AlPV-14","HPV-cand90","Human papillomavirus cand90"
"Betapapillomavirus 1","BePV-1","HPV-5, HPV-8, HPV-12, HPV-14, HPV-19, HPV-20, HPV-21, HPV-24, HPV-25, HPV-36, HPV-47","Human papillomavirus 5, Human papillomavirus 8, Human papillomavirus 12, Human papillomavirus 14, Human papillomavirus 19, Human papillomavirus 20, Human papillomavirus 21, Human papillomavirus 24, Human papillomavirus 25, Human papillomavirus 36, Human papillomavirus 47"
"Betapapillomavirus 2","BePV-2","HPV-9, HPV-15, HPV-17, HPV-22, HPV-23, HPV-37, HPV-38, HPV-80","Human papillomavirus 9, Human papillomavirus 15, Human papillomavirus 17, Human papillomavirus 22, Human papillomavirus 23, Human papillomavirus 37, Human papillomavirus 38, Human papillomavirus 80"
"Betapapillomavirus 3","BePV-3","HPV-49, HPV-75, HPV-76","Human papillomavirus 49, Human papillomavirus 75, Human papillomavirus 76"
"Betapapillomavirus 4","BePV-4","HPV-cand92","Human papillomavirus cand92"
"Betapapillomavirus 5","BePV-5","HPV-cand96","Human papillomavirus cand96"
"Betapapillomavirus 6","BePV-6",NA,NA
"Chipapillomavirus 1","ChPV-1",NA,NA
"Chipapillomavirus 2","ChPV-2",NA,NA
"Chipapillomavirus 3","ChPV-3",NA,NA
"Deltapapillomavirus 1","DePV-1","EEPV, RPV","European elk papillomavirus, Reindeer papillomavirus"
"Deltapapillomavirus 2","DePV-2","DPV","Deer papillomavirus"
"Deltapapillomavirus 3","DePV-3","OvPV-1","Ovine papillomavirus 1"
"Deltapapillomavirus 4","DePV-4","BPV-1, BPV-2","Bovine papillomavirus 1, Bovine papillomavirus 2"
"Deltapapillomavirus 5","DePV-5",NA,NA
"Deltapapillomavirus 6","DePV-6",NA,NA
"Dyochipapillomavirus 1","DDyPV-1",NA,NA
"Dyodeltapapillomavirus 1","DDePV-1",NA,NA
