"Species","Acronyms","Other.Acronyms","Other.Names"
"Umatilla virus","UMAV","LLSV, MINV, NETV","Llano seco virus, Minnal virus, Netivot virus"
"Wad Medani virus","WMV","SELV","Seletar virus"
"Wallal virus","WALV","MUDV, WALKV","Mudjinbarry virus, Wallal K virus"
"Warrego virus","WARV","MRV, WARKV","Mitchell river virus, Warrego K virus"
"Wongorr virus","WGRV","PRV, PIAV","Paroo river virus, Picola virus"
"Yunnan orbivirus","YUOV",NA,NA
"Rice dwarf virus","RDV",NA,NA
"Rice gall dwarf virus","RGDV",NA,NA
"Wound tumor virus","WTV",NA,NA
"Rotavirus A","RV-A","SiRV-A","Simian rotavirus A"
"Rotavirus B","RV-B",NA,NA
"Rotavirus C","RV-C","HRV-C","Human rotavirus-C"
"Rotavirus D","RV-D","AvRV-D","Avian rotavirus-D"
"Rotavirus E","RV-E","PoRV-E","Porcine rotavirus-E"
"Rotavirus F","RV-F","AvRV-F","Avian rotavirus-F"
"Rotavirus G","RV-G","AvRV-G","Avian rotavirus-G"
"Rotavirus H","RV-H",NA,NA
"Rotavirus I","RV-I",NA,NA
"Banna virus","BAV",NA,NA
"Kadipiro virus","KDV",NA,NA
"Liao ning virus","LNV",NA,NA
"Aquareovirus A","AQRV-A","13p2RV, AFRV, ASRV, HBRV, TSRV, DRCRV, CSRV, MSRV, SRV, SBRV","American oyster reovirus 13p2, Angel fish reovirus, Atlantic salmon reovirus, Chinook slamon reovirus, Chum salmon reovirus, Masou salmon reovirus, Smelt reovirus, Striped bass reovirus"
"Aquareovirus B","AQRV-B","GRCV, ICRV, LBSV, YRCV, CSRV, ELCV, SCSV","Chinook salmon reovirus B, Chinook slamon reovirus ICR, Chinook slamon reovirus LBS, Chinook slamon reovirus YRC, Coho slamon reovirus CSR, Coho slamon reovirus ELC, Coho slamon reovirus SCS"
"Aquareovirus C","AQRV-C","GSRV, GCRV","Golden shiner reovirus, Grass carp reovirus"
"Aquareovirus D","AQRV-D","CCRV","Channel catfish reovirus"
"Aquareovirus E","AQRV-E","TRV","Turbot reovirus"
"Aquareovirus F","AQRV-F","PSRV, SSRV","Chum salmon reovirus PSR, Coho samon reovirus SSR"
"Aquareovirus G","AQRV-G","AGCRV, GIRV","American grass carp reovirus, Golden ide reovirus"
"Colorado tick fever virus","CTFV",NA,NA
"Eyach virus","EYAV",NA,NA
"Cypovirus 1","CPV-1","MnCPV-1, DpCPV-1 DSCPV-1, LdCPV-1","Bombyx mori cypovirus 1, Dendrolimus punctatus cypovirus 1, Dendrolimus spectabilis cypovirus 1, Lymantria dispar cypovirus 1"
