"Species","Taxon.History.URL.ICTV"
"Murid gammaherpesvirus 4","ICTVonline=202101512"
"Murid gammaherpesvirus 7","ICTVonline=202101513"
"Saimiriine gammaherpesvirus 2","ICTVonline=202101514"
"Equid gammaherpesvirus 7","ICTVonline=202101516"
"Phocid gammaherpesvirus 2","ICTVonline=202101517"
"Saguinine gammaherpesvirus 1","ICTVonline=202101518"
"Iguanid herpesvirus 2","ICTVonline=202101521"
"Haliotid herpesvirus 1","ICTVonline=202101525"
"Ostreid herpesvirus 1","ICTVonline=202101527"
"Junduvirus communis","ICTVonline=202113484"
"Junduvirus copri","ICTVonline=202113483"
"Kahucivirus intestinalis","ICTVonline=202113487"
"Kingevirus communis","ICTVonline=202113490"
"Jahgtovirus gastrointestinalis","ICTVonline=202113480"
"Jahgtovirus intestinalis","ICTVonline=202113479"
"Jahgtovirus intestinihominis","ICTVonline=202113481"
"Jahgtovirus secundus","ICTVonline=202113482"
"Carjivirus communis","ICTVonline=202113461"
"Carjivirus hominis","ICTVonline=202113460"
"Dabirmavirus hominis","ICTVonline=202113468"
"Delmidovirus copri","ICTVonline=202113470"
"Delmidovirus intestinihominis","ICTVonline=202113471"
"Delmidovirus splanchnicus","ICTVonline=202113472"
"Diorhovirus copri","ICTVonline=202113473"
"Diorhovirus intestinalis","ICTVonline=202113474"
"Drivevirus gastrointestinalis","ICTVonline=202113475"
"Endlipuvirus intestinihominis","ICTVonline=202113476"
"Whopevirus animalis","ICTVonline=202113500"
"Fohxhuevirus gastrointestinalis","ICTVonline=202113477"
"Hacihdavirus animalis","ICTVonline=202113478"
"Wotdevirus murinus","ICTVonline=202113501"
"Akihdevirus balticus","ICTVonline=202113433"
"Kahnovirus copri","ICTVonline=202113485"
"Kahnovirus oralis","ICTVonline=202113486"
"Kehishuvirus primarius","ICTVonline=202113489"
"Kehishuvirus splanchnicus","ICTVonline=202113488"
"Kolpuevirus coli","ICTVonline=202113491"
"Kolpuevirus hominis","ICTVonline=202113492"
"Lahndsivirus rarus","ICTVonline=202113493"
"Lebriduvirus gastrointestinalis","ICTVonline=202113494"
"Mahlunavirus rarus","ICTVonline=202113495"
"Mahstovirus faecalis","ICTVonline=202113496"
"Pamirivirus faecium","ICTVonline=202113497"
"Paundivirus hollandii","ICTVonline=202113498"
"Pipoluvirus rarus","ICTVonline=202113499"
"Wulfhauvirus bangladeshii","ICTVonline=202113502"
"Afonbuvirus coli","ICTVonline=202113115"
"Afonbuvirus faecalis","ICTVonline=202113116"
"Afonbuvirus intestinihominis","ICTVonline=202113114"
"Canhaevirus faecalis","ICTVonline=202113458"
"Canhaevirus hiberniae","ICTVonline=202113459"
"Cohcovirus hiberniae","ICTVonline=202113464"
"Cohcovirus splanchnicus","ICTVonline=202113463"
"Culoivirus americanus","ICTVonline=202113466"
"Culoivirus faecalis","ICTVonline=202113465"
"Culoivirus intestinalis","ICTVonline=202113467"
"Blohavirus americanus","ICTVonline=202113441"
"Blohavirus faecalis","ICTVonline=202113440"
"Buchavirus coli","ICTVonline=202113446"
"Buchavirus copri","ICTVonline=202113450"
"Buchavirus faecalis","ICTVonline=202113449"
"Buchavirus hiberniae","ICTVonline=202113444"
"Buchavirus hominis","ICTVonline=202113448"
"Buchavirus intestinalis","ICTVonline=202113443"
"Buchavirus oralis","ICTVonline=202113445"
"Buchavirus splanchnicus","ICTVonline=202113447"
"Buorbuivirus hominis","ICTVonline=202113453"
"Bohxovirus oralis","ICTVonline=202113442"
"Buhlduvirus animalis","ICTVonline=202113451"
"Buhlduvirus porcinus","ICTVonline=202113452"
"Burzaovirus coli","ICTVonline=202113456"
"Burzaovirus faecalis","ICTVonline=202113455"
"Burzaovirus intestinihominis","ICTVonline=202113454"
"Cacepaovirus simiae","ICTVonline=202113457"
"Chuhaivirus simiae","ICTVonline=202113462"
"Aurodevirus hiberniae","ICTVonline=202113434"
"Aurodevirus hominis","ICTVonline=202113436"
"Aurodevirus intestinalis","ICTVonline=202113435"
"Besingivirus coli","ICTVonline=202113437"
"Birpovirus hiberniae","ICTVonline=202113439"
"Birpovirus hominis","ICTVonline=202113438"
"Dechshavirus japanensis","ICTVonline=202113469"
"Beejeyvirus BJ1","ICTVonline=202112209"
"Seejivirus CGphi46","ICTVonline=202112211"
"Dpdavirus HRTV29","ICTVonline=202112201"
"Retbasiphovirus HFTV1","ICTVonline=202112199"
"Saldibavirus HRTV4","ICTVonline=202112203"
"Hatrivirus HATV3","ICTVonline=202112205"
"Lonfivirus HSTV1","ICTVonline=202112207"
"Metforvirus Drs3","ICTVonline=202112213"
"Psimunavirus psiM2","ICTVonline=202107999"
"Hacavirus HCTV1","ICTVonline=202112193"
"Tredecimvirus HVTV1","ICTVonline=202112191"
